PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,WinPCT,TS_PCT,PTS_per36,AST_per36,REB_per36,STL_per36,BLK_per36,TOV_per36
1642267,Bub Carrington,Bub,1610612764,WAS,20.0,77,17,60,0.221,27.6,3.6,8.8,0.414,2.0,5.0,0.396,1.0,1.4,0.721,0.4,3.0,3.4,4.6,2.2,0.6,0.2,0.2,2.3,1.4,10.2,-9.4,21.6,0,0,21.9,9,322,1,510,131,209,172,425,86,107,98,289,275,375,412,194,246,62,61,284,346,368,135,252,197,569,202,257,31,184,1,2025-26,0.221,0.5416312659303313,13.304347826086955,6.0,4.434782608695652,0.7826086956521738,0.2608695652173913,2.8695652173913047
203468,CJ McCollum,CJ,1610612737,ATL,34.0,73,36,37,0.493,29.8,6.9,15.1,0.454,2.5,6.7,0.371,2.5,3.2,0.774,0.8,2.5,3.3,3.8,1.8,0.8,0.4,0.6,1.9,2.3,18.7,1.1,30.3,0,0,30.8,41,127,81,321,90,55,44,292,46,42,177,98,94,284,261,257,264,83,113,204,181,125,243,134,56,170,96,257,31,82,2,2025-26,0.577,0.5663920523382603,22.590604026845636,4.590604026845637,3.9865771812080535,0.9664429530201342,0.4832214765100671,2.174496644295302
1630595,Cade Cunningham,Cade,1610612765,DET,24.0,61,44,17,0.721,34.4,8.7,18.9,0.461,2.0,5.8,0.346,5.1,6.2,0.814,0.9,4.7,5.6,9.9,3.7,1.5,0.9,1.1,3.1,4.8,24.5,7.8,49.3,37,3,46.7,181,48,346,62,17,17,11,265,78,70,253,25,22,207,233,73,94,2,4,28,64,16,24,21,18,14,6,6,8,6,1,2025-26,0.731,0.5663954133530609,25.63953488372093,10.36046511627907,5.8604651162790695,1.5697674418604652,0.9418604651162791,3.872093023255814
1642285,Cam Spencer,Cam,1610612763,MEM,25.0,71,23,48,0.324,23.9,3.7,7.8,0.472,2.0,4.5,0.447,1.8,1.9,0.94,0.6,2.0,2.6,5.5,1.3,0.7,0.2,0.2,1.4,1.3,11.1,-1.3,23.8,6,0,23.0,65,248,20,431,200,206,205,231,77,132,32,159,206,38,347,318,341,36,193,235,405,373,356,261,177,345,166,83,31,167,1,2025-26,0.325,0.642658638258453,16.719665271966527,8.284518828451883,3.916317991631799,1.0543933054393306,0.301255230125523,1.9581589958158996
1642868,Carter Bryant,Carter,1610612759,SAS,20.0,67,53,14,0.791,10.8,1.4,3.5,0.386,0.6,2.0,0.307,0.4,0.6,0.711,0.5,1.9,2.4,0.5,0.4,0.2,0.3,0.1,1.2,0.4,3.7,-0.3,8.5,0,0,8.3,105,7,387,29,448,440,409,483,345,327,383,446,447,386,391,333,362,496,465,493,291,451,407,488,441,281,458,257,31,451,1,2025-26,0.756,0.4914984059511158,12.333333333333332,1.6666666666666665,8.0,0.6666666666666666,1.0,1.3333333333333333
1641717,Cason Wallace,Cason,1610612760,OKC,22.0,74,58,16,0.784,26.8,3.3,7.6,0.433,1.3,3.7,0.344,0.7,0.9,0.803,0.8,2.3,3.1,2.6,1.0,2.0,0.4,0.5,2.0,0.8,8.6,6.5,22.3,1,0,20.3,32,3,356,32,150,231,214,367,190,180,262,354,373,220,254,286,283,164,275,5,230,189,202,371,245,22,189,187,31,207,1,2025-26,0.792,0.5377688844422212,11.552238805970148,3.4925373134328357,4.164179104477612,2.6865671641791042,0.5373134328358209,1.3432835820895521
1642907,Cedric Coward,Cedric,1610612763,MEM,22.0,60,20,40,0.333,26.0,4.8,10.4,0.464,1.5,4.4,0.332,2.3,2.7,0.845,1.4,4.5,5.9,2.8,1.8,0.6,0.4,0.7,2.1,2.2,13.4,-0.2,26.0,7,0,25.6,192,290,60,417,166,131,132,258,157,139,313,110,128,135,120,75,76,152,117,286,186,72,187,143,131,266,141,68,31,129,1,2025-26,0.325,0.5781843286158094,18.553846153846155,3.8769230769230765,8.16923076923077,0.8307692307692307,0.5538461538461539,2.4923076923076923
1631096,Chet Holmgren,Chet,1610612760,OKC,23.0,66,53,13,0.803,29.1,6.2,11.3,0.55,1.2,3.5,0.346,3.3,4.1,0.799,1.9,6.9,8.8,1.7,1.5,0.6,1.8,0.8,2.3,3.8,16.9,9.1,35.7,22,0,33.4,123,7,397,25,103,72,108,86,206,201,254,61,60,231,71,18,22,276,144,312,4,58,126,46,79,7,49,19,31,61,1,2025-26,0.792,0.6448412698412698,20.907216494845358,2.1030927835051543,10.88659793814433,0.7422680412371134,2.22680412371134,1.8556701030927834
203991,Clint Capela,Clint,1610612745,HOU,31.0,70,43,27,0.614,12.4,1.5,3.0,0.512,0.0,0.0,0.0,0.6,1.0,0.597,2.1,2.5,4.6,0.7,0.6,0.5,0.8,0.3,1.0,0.7,3.6,1.9,13.5,0,0,11.5,77,53,201,160,422,420,451,132,503,536,503,400,358,487,51,260,157,462,400,389,66,320,465,402,446,121,354,257,31,377,1,2025-26,0.623,0.5232558139534884,10.451612903225808,2.0322580645161286,13.354838709677418,1.4516129032258065,2.32258064516129,1.7419354838709677
1642262,Cody Williams,Cody,1610612762,UTA,21.0,63,15,48,0.238,23.6,3.4,7.1,0.48,0.4,1.8,0.224,1.2,1.7,0.701,1.0,2.0,2.9,1.8,1.0,0.7,0.4,0.7,1.9,1.2,8.5,-5.9,17.1,2,0,15.9,160,354,20,493,203,221,233,206,401,354,463,243,228,402,203,329,299,250,247,237,193,108,245,280,249,540,276,150,31,286,1,2025-26,0.269,0.5415392456676861,12.966101694915254,2.7457627118644066,4.423728813559322,1.0677966101694913,0.6101694915254238,1.5254237288135593
